Router #,IP,Cabinet,Type,Zone #,Wire #,Port,Sensor,Sensor ID,Latitide,Longitude,pulse/gal,,,
1,192.168.150.10,1U,Perv Asphalt,Zone 1,7.0,1,Temp,BB0008017D091010,39.13024889,-84.49841278,,,,
1,192.168.150.10,1U,Perv Asphalt,Zone 1,7.0,1,Flow - altawater,BC0000000F968F1D,39.13024889,-84.49841278,13.5,,,
1,192.168.150.10,1U,Perv Asphalt,Zone 1,8.0,2,,,,,,,,
1,192.168.150.10,1U,Perv Asphalt,Zone 1,9.0,3,,,,,,,,
2,192.168.150.11,1U,Perv Concrete,Zone 2,10.0,1,Temp,420008017D027D10,39.13017889,-84.49843861,,,,
2,192.168.150.11,1U,Perv Concrete,Zone 2,10.0,1,Flow - altawater,2800000000F861C1D,39.13017889,-84.49843861,13.5,,,
2,192.168.150.11,1U,Perv Concrete,Zone 2,11.0,2,,,,,,,,
2,192.168.150.11,1U,Perv Concrete,Zone 2,12.0,3,,,,,,,,
3,192.168.150.12,1U,Concrete,Zone 3,13.0,1,Temp,830008017CF0DC10,39.13010278,-84.49846333,,,,
3,192.168.150.12,1U,Concrete,Zone 3,13.0,1,Flow - RioTronics,D30000000F4E731D,39.13010278,-84.49846333,13.5,,,
3,192.168.150.12,1U,Column A,Zone 3,13.1,1,,,,,,,,
3,192.168.150.12,1U,Concrete,Zone 3,14.0,2,,,,,,,,
3,192.168.150.12,1U,Concrete,Zone 3,15.0,3,,,,,,,,
4,192.168.150.13,1U,Perv Paver,Zone 4,16.0,1,Flow - altawater,320000000F6D091D,39.13003139,-84.49848639,13.5,,,
4,192.168.150.13,1U,Perv Paver,Zone 4,16.0,1,Temp,850008017D08C110,39.13003139,-84.49848639,,,,
4,192.168.150.13,1U,Perv Paver,Zone 4,17.0,2,,,,,,,,
4,192.168.150.13,1U,Perv Paver,Zone 4,18.0,3,,,,,,,,
5,192.168.150.14,1U,Perv Paver,Zone 5,19.0,1,Flow - Neptune,070000000F87D01D,39.12995806,-84.49851306,27,,,
5,192.168.150.14,1U,Perv Paver,Zone 5,19.0,1,Temp,0B0008017CFFB310,39.12995806,-84.49851306,,,,
5,192.168.150.14,1U,Column A,Zone 5,19.1,1,Temp,5C0008017CF04E10,39.129975,-84.49851611,,,,
5,192.168.150.14,1U,Coulmn B,Zone 5,19.2,1,Temp,9A0008017CFB6E10,39.12997194,-84.49852083,,,,
5,192.168.150.14,1U,Coulmn C,Zone 5,19.3,1,Temp,AD0008017CF84410,39.12994194,-84.49852528,,,,
5,192.168.150.14,1U,Perv Paver,Zone 5,20.0,2,,,,,,,,
5,192.168.150.14,1U,Perv Paver,Zone 5,21.0,3,,,,,,,,
6,192.168.150.15,1U,Perv Paver,Zone 6,22.0,1,Flow - altawater,7C0000000F99FE1D,39.12998222,-84.49878222,13.5,,,
6,192.168.150.15,1U,Perv Paver,Zone 6,22.0,1,Temp,FE0008017D045410,39.12998222,-84.49878222,,,,
6,192.168.150.15,1U,Perv Paver,Zone 6,23.0,2,,,,,,,,
6,192.168.150.15,1U,Perv Paver,Zone 6,24.0,3,,,,,,,,
7,192.168.150.,2U,Rain Garden,Zone 7,1.0,1,Temp,4E0008017CF1DC10,39.13029722,-84.49841694,,,,
7,192.168.150.,2U,Rain Garden,Zone 7,1.0,1,Flow - altawater,E70000000F8FC71D,39.13029722,-84.49841694,13.5,,,
7,192.168.150.,2U,Rain Garden,Zone 7,2.0,2,,,,,,,,
7,192.168.150.,2U,Rain Garden,Zone 7,3.0,3,,,,,,,,
8,192.168.150.16,2U,Bio Swale,Zone 8,4.0,1,Temp,3F0008017D13E110,39.13029139,-84.49838333,,,,
8,192.168.150.16,2U,Bio Swale,Zone 8,4.0,1,Flow - RioTronics,670000000F963B1D,39.13029139,-84.49838333,13.5,,,
8,192.168.150.16,2U,Bio Swale,Zone 8,5.0,2,,,,,,,,
8,192.168.150.16,2U,Bio Swale,Zone 8,6.0,3,,,,,,,,
9,192.168.150.17,2U,Rooftop,Zone 9,,1,Rain Guage - North,310000000F87541D,39.1299839,-84.4987619,,,,
9,192.168.150.17,2U,Rooftop,Zone 9,,1,Rain Guage - South,D50000000F681D1D,39.1301739,-84.4986678,,,,
9,192.168.150.17,2U,Rooftop,Zone 9,,1,Temp,880008017D03CD10,39.1299839,-84.4987619,,,,
9,192.168.150.17,2U,Rooftop,Zone 9,,2,Weather Station,,39.13017917,-84.49866639,,,,
9,192.168.150.17,2U,Rooftop,Zone 9,,3,,,,,,,,
10,192.168.150.,2U,Rain Harvester,Zone 10,,,,,,,,,,
11,192.168.150.,2U,Internal,,,,Wireless,,,,,,,
12,192.168.150.,2U,Spare,,,,,,,,,,,
